#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     14        14      18       1063.40         33.71    1008314.33      3.02587      0.83532     1.0000     0.3080     0.3080
     15        15       3       1180.74        111.47      95385.52      1.54135      3.50558     1.0000     0.0060     0.0060
     15        15       6       1113.63        111.47     438908.21      2.41423      2.97719     1.0000     0.0190     0.0190
     15        15       9       1052.85        111.47     601511.36      2.49130      2.61152     1.0000     0.0380     0.0380
     15        15      12       1112.31        111.47     680601.11      3.00333      2.53503     1.0000     0.0300     0.0300
     15        15      15       1027.33        111.47     770439.03      2.84317      2.15010     1.0000     0.0480     0.0480
     15        15      18        966.76        111.47     881291.18      2.32283      1.57693     1.0000     0.1160     0.1160
     16        16       3       1072.52         15.79     766451.14      1.21248      1.24411     1.0000     0.3730     0.3730
     16        16       6       1051.09         15.79     505565.14      2.24199      2.65805     1.0000     0.0540     0.0540
     16        16       9        985.58         15.79     843856.57      2.04378      1.38585     1.0000     0.2040     0.2040
     16        16      12        920.90         15.79     926727.47      1.76419      1.08183     1.0000     0.2560     0.2560
     16        16      15        941.83         15.79     957326.55      2.06504      0.99355     1.0000     0.2420     0.2420
     16        16      18        887.20         15.79    1133216.78      1.44986     -0.10226     1.0000     0.6030     0.6030
     17        17       3        905.30         38.73     656743.25      0.69055      1.57867     1.0000     0.2950     0.2950
     17        17       6        882.48         38.73     891033.92      0.04234      0.93771     1.0000     0.3280     0.3280
     17        17       9        872.04         38.73     871698.99      0.16399      1.19146     1.0000     0.2530     0.2530
     17        17      12        856.19         38.73     842730.69      0.67121      1.49925     1.0000     0.1470     0.1470
     17        17      15        850.41         38.73     828250.24      0.85208      1.73004     1.0000     0.1050     0.1050
     17        17      18        816.21         38.73     831323.43      1.26466      1.84265     1.0000     0.0810     0.0810
     18        18       3       1072.52         37.88     766451.14      1.21248      1.24411     1.0000     0.3680     0.3680
     18        18       6        877.67         37.88    1087581.54      0.83395      0.07412     1.0000     0.5500     0.5500
     18        18       9        808.45         37.88     957641.76      0.39558      0.75152     1.0000     0.3560     0.3560
     18        18      12        858.51         37.88     931536.60      1.03852      0.99053     1.0000     0.2700     0.2700
     18        18      15        805.47         37.88    1141008.15      0.16190     -0.22898     1.0000     0.6160     0.6160
     18        18      18        813.63         37.88    1117789.41      0.85099     -0.08998     1.0000     0.5800     0.5800
     19        19       3        665.37         56.66     300605.79      0.13019      2.77240     1.0000     0.0770     0.0770
     19        19       6        675.34         56.66     634272.54      0.10634      2.03110     1.0000     0.1050     0.1050
     19        19       9        669.56         56.66    1121542.65      0.21915     -0.15911     1.0000     0.6070     0.6070
     19        19      12        660.07         56.66    1024869.08      0.85522      0.38265     1.0000     0.4420     0.4420
     19        19      15        671.69         56.66    1000194.46      0.54352      0.57488     1.0000     0.3660     0.3660
     19        19      18        637.95         56.66    1071204.25      0.60615      0.13415     1.0000     0.4880     0.4880
     20        20       3        695.33        227.65     232865.60      0.54642      3.01006     1.0000     0.0380     0.0380
     20        20       6        740.00        227.65     719196.98      0.62747      1.69273     1.0000     0.1900     0.1900
     20        20       9        741.65        227.65     929475.98      0.42363      0.89570     1.0000     0.3180     0.3180
     20        20      12        700.65        227.65     862495.23      0.74129      1.32440     1.0000     0.1980     0.1980
     20        20      15        695.33        227.65     786879.17      0.57966      1.92770     1.0000     0.0690     0.0690
     20        20      18        681.93        227.65     906226.92      0.29927      1.26105     1.0000     0.1810     0.1810
     21        21       3        661.45        120.56     749801.41      0.29963      1.19648     1.0000     0.3650     0.3650
     21        21       6        657.26        120.56    1178342.97      0.86708     -0.38925     1.0000     0.6730     0.6730
     21        21       9        648.70        120.56     964485.24      1.48790      0.65490     1.0000     0.3720     0.3720
     21        21      12        633.55        120.56     998849.56      0.91235      0.53356     1.0000     0.4080     0.4080
     21        21      15        633.81        120.56    1007186.18      0.30439      0.53054     1.0000     0.3860     0.3860
     21        21      18        588.90        120.56    1113528.11      0.71047     -0.25805     1.0000     0.5960     0.5960
     22        22       3        597.90        325.28     946382.34      1.71858      0.46181     1.0000     0.5380     0.5380
     22        22       6        612.97        325.28    1068934.99      1.71832      0.03301     1.0000     0.6010     0.6010
     22        22       9        629.13        325.28    1070842.95      1.22696      0.10366     1.0000     0.5360     0.5360
     22        22      12        618.73        325.28    1018541.38      0.79343      0.41935     1.0000     0.4330     0.4330
     22        22      15        594.42        325.28    1075516.21      0.52195      0.00475     1.0000     0.5630     0.5630
     22        22      18        558.94        325.28    1112373.67      1.43491     -0.25005     1.0000     0.6340     0.6340
     23        23       3        569.36         26.05    1682786.03      1.09516     -2.15674     1.0000     0.9160     0.9160
     23        23       6        606.18         26.05    1140367.13      1.37119     -0.28907     1.0000     0.6440     0.6440
     23        23       9        587.09         26.05    1101841.34      1.51267     -0.13441     1.0000     0.6020     0.6020
