#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     35        35       9        315.96         93.46     597326.38      0.48708      1.37459     1.0000     0.2080     0.2080
     35        35      12        337.73         93.46     625134.49      0.22881      1.35863     1.0000     0.2120     0.2120
     35        35      15        337.61         93.46     568235.93      0.06713      1.98003     1.0000     0.0580     0.0580
     35        35      18        338.24         93.46     653376.37      0.25212      1.33574     1.0000     0.1960     0.1960
     36        36       3        888.36        127.34     532617.65      0.11619      1.35672     1.0000     0.3520     0.3520
     36        36       6        928.20        127.34     580136.54      0.20854      1.44087     1.0000     0.1940     0.1940
     36        36       9        854.03        127.34     574231.57      0.11950      1.78212     1.0000     0.1340     0.1340
     36        36      12        838.19        127.34     614761.01      0.05283      1.68850     1.0000     0.1040     0.1040
     36        36      15        874.90        127.34     596291.43      0.03544      1.91864     1.0000     0.0820     0.0820
     36        36      18        906.75        127.34     582870.01      0.42010      2.18771     1.0000     0.0420     0.0420
     37        37       3        277.82        298.55     666832.61      0.01557      0.57830     1.0000     0.5200     0.5200
     37        37       6        279.08        298.55     502406.69      0.09011      1.74906     1.0000     0.1620     0.1620
     37        37       9        252.55        298.55     650392.81      0.00422      0.97265     1.0000     0.2780     0.2780
     37        37      12        200.10        298.55     639023.98      0.07938      1.18002     1.0000     0.2000     0.2000
     37        37      15        204.20        298.55     628361.58      0.08920      1.38418     1.0000     0.1520     0.1520
     37        37      18        251.88        298.55     603529.36      0.29858      1.72640     1.0000     0.0860     0.0860
     38        38       3        830.98        108.83    1048257.29      1.45162     -0.95705     1.0000     0.7740     0.7740
     38        38       6        761.50        108.83     699943.98      2.22126      0.80214     1.0000     0.3980     0.3980
     38        38       9        801.83        108.83     994193.20      2.51253     -1.04934     1.0000     0.8240     0.8240
     38        38      12        790.17        108.83     937931.23      3.04424     -0.74978     1.0000     0.7640     0.7640
     38        38      15        757.16        108.83     974102.43      2.77954     -1.20631     1.0000     0.8600     0.8600
     38        38      18        784.34        108.83     921627.29      3.20121     -0.73815     1.0000     0.7440     0.7440
     39        39       3        235.25        144.72     497399.42      0.55267      1.40376     1.0000     0.3380     0.3380
     39        39       6        254.85        144.72     448170.79      1.49933      2.08410     1.0000     0.1040     0.1040
     39        39       9        268.68        144.72     435262.12      1.41113      2.52100     1.0000     0.0360     0.0360
     39        39      12        272.02        144.72     617941.57      1.62325      1.34982     1.0000     0.1980     0.1980
     39        39      15        290.20        144.72     631124.20      1.11126      1.35985     1.0000     0.1760     0.1760
     39        39      18        289.39        144.72     594255.80      0.91117      1.81437     1.0000     0.1000     0.1000
     40        40       3        395.40        220.76     515079.19      0.06051      1.36878     1.0000     0.3560     0.3560
     40        40       6        414.01        220.76     701749.38      0.74655      0.60596     1.0000     0.4740     0.4740
     40        40       9        459.67        220.76     572445.19      0.64426      1.63997     1.0000     0.1440     0.1440
     40        40      12        428.86        220.76     612404.61      0.23641      1.49496     1.0000     0.1500     0.1500
     40        40      15        415.81        220.76     629484.44      0.91217      1.48729     1.0000     0.1260     0.1260
     40        40      18        415.23        220.76     610008.73      1.23019      1.78289     1.0000     0.0800     0.0800
     41        41       3        551.00        225.00     113410.00      0.01845      3.29086     1.0000     0.0180     0.0180
     41        41       6        523.91        225.00     431494.16      0.74490      2.26604     1.0000     0.0780     0.0780
     41        41       9        483.37        225.00     686487.44      0.00332      0.84036     1.0000     0.3340     0.3340
     41        41      12        511.45        225.00     628172.10      0.46237      1.41720     1.0000     0.1780     0.1780
     41        41      15        519.52        225.00     706407.20      0.43222      0.88103     1.0000     0.3120     0.3120
     41        41      18        539.16        225.00     695279.98      0.65948      1.05135     1.0000     0.2260     0.2260
     42        42       3        400.60        163.63     623797.74      0.36961      0.84991     1.0000     0.4520     0.4520
     42        42       6        397.62        163.63     589330.85      0.94724      1.28628     1.0000     0.2500     0.2500
     42        42       9        409.51        163.63     617863.48      0.82082      1.29742     1.0000     0.1980     0.1980
     42        42      12        421.86        163.63     688613.38      0.58102      0.89367     1.0000     0.3000     0.3000
     42        42      15        428.77        163.63     613964.12      0.59233      1.62119     1.0000     0.1120     0.1120
     42        42      18        409.22        163.63     576285.16      0.93610      2.09625     1.0000     0.0440     0.0440
     43        43       3        584.53          2.39     621791.31      0.09172      0.89872     1.0000     0.4200     0.4200
     43        43       6        588.17          2.39     587349.41      0.35869      1.34527     1.0000     0.2400     0.2400
     43        43       9        570.34          2.39     608425.04      0.22353      1.40434     1.0000     0.1800     0.1800
     43        43      12        581.06          2.39     594847.57      0.39404      1.69553     1.0000     0.1320     0.1320
     43        43      15        562.92          2.39     602135.94      0.40244      1.77213     1.0000     0.1160     0.1160
     43        43      18        536.25          2.39     598725.58      0.41059      1.94010     1.0000     0.0560     0.0560
     44        44       3        547.82        224.00     113491.53      0.19525      3.29048     1.0000     0.0240     0.0240
     44        44       6        504.90        224.00     639323.23      0.39212      1.02016     1.0000     0.2940     0.2940
     44        44       9        523.03        224.00     659299.12      0.14769      1.04903     1.0000     0.2780     0.2780
     44        44      12        527.09        224.00     637588.08      0.12419      1.34361     1.0000     0.2100     0.2100
     44        44      15        517.93        224.00     638066.50      0.14880      1.46506     1.0000     0.1860     0.1860
     44        44      18        539.73        224.00     623242.46      0.05115      1.71443     1.0000     0.1240     0.1240
     45        45       3        547.82        225.00     113491.53      0.19525      3.29048     1.0000     0.0200     0.0200
     45        45       6        504.90        225.00     639323.23      0.39212      1.02016     1.0000     0.3060     0.3060
     45        45       9        526.75        225.00     564870.21      0.53282      1.70853     1.0000     0.1340     0.1340
     45        45      12        509.32        225.00     547408.43      0.69287      2.04842     1.0000     0.0720     0.0720
