#  idx_gal   shID  Ngali  Ngalf    Rij(kpc)  size(kpc)  sigm(km/s)  Pmin(ds)    GrNr    x(kpc)    y(kpc)   V_LOS(km/s)
    116      116      0      0        0.00       0.00       0.00    -1.0000      -1   -2360.34      51.64 13223845.32
    117      117      0      0        0.00       0.00       0.00    -1.0000      -1   -2460.11    -727.96 13256822.49
    118      118      0      0        0.00       0.00       0.00    -1.0000      -1   -2933.82    -198.22 15259436.11
    119      119      3      3     1976.10      14.45  108796.17     0.2100      22   -1966.17    -426.37 15247444.41
    120      120      0      0        0.00       0.00       0.00    -1.0000      -1   -1692.49    -928.34 15622184.99
    121      121      0      0        0.00       0.00       0.00    -1.0000      -1   -1700.33    -600.28 14288108.55
    122      122      6      6     2455.78     419.86  545143.81     0.3170      58   -2443.52     131.03 13880390.81
    123      123      0      0        0.00       0.00       0.00    -1.0000      -1   -1669.34   -1002.79 12624260.41
    124      124      0      0        0.00       0.00       0.00    -1.0000      -1   -2214.49      17.22 13706511.18
    125      125      0      0        0.00       0.00       0.00    -1.0000      -1   -1777.66    -604.03 14971635.35
    126      126      0      0        0.00       0.00       0.00    -1.0000      -1   -1924.91    -836.49 12549312.29
    127      127      0      0        0.00       0.00       0.00    -1.0000      -1   -1860.27    -827.59 15040587.62
    128      128      0      0        0.00       0.00       0.00    -1.0000      -1   -1871.26    -971.73 14432008.93
    129      129      0      0        0.00       0.00       0.00    -1.0000      -1   -2641.48     204.50 14863710.07
    130      130      0      0        0.00       0.00       0.00    -1.0000      -1   -1610.72    -872.00 14809747.43
    131      131      0      0        0.00       0.00       0.00    -1.0000      -1   -1710.00    -213.25 15874010.65
    132      132      3      3     2539.78     414.99  269348.69     0.0710      55   -2578.66     -54.33 15190483.85
    133      133      0      0        0.00       0.00       0.00    -1.0000      -1   -1812.01     -76.99 13292797.59
    134      134      0      0        0.00       0.00       0.00    -1.0000      -1   -2764.19     -23.48 15310400.83
    135      135      0      0        0.00       0.00       0.00    -1.0000      -1   -1605.33    -722.85 12525328.90
    136      136      0      0        0.00       0.00       0.00    -1.0000      -1   -1507.76   -1039.81 14692828.37
    137      137      0      0        0.00       0.00       0.00    -1.0000      -1   -1305.28   -1265.30 12726189.84
    138      138      3      3     1709.65     305.36  223346.48     0.0520      51   -1416.57    -943.96 15253440.26
    139      139      0      0        0.00       0.00       0.00    -1.0000      -1   -1400.88    -682.79 12987009.28
    140      140      3      3     1789.77     615.79  116665.00     0.0060      29    -934.88   -1358.73 13997309.86
    141      141      0      0        0.00       0.00       0.00    -1.0000      -1   -1117.61    -709.51 15457299.13
    142      142      0      0        0.00       0.00       0.00    -1.0000      -1   -1262.70    -806.44 14515950.82
    143      143      6      6     1593.24     466.81  279377.00     0.0890       6    -727.95   -1155.83 14051272.51
    144      144      0      0        0.00       0.00       0.00    -1.0000      -1    -759.22   -1028.81 13940349.30
    145      145      9      9     1425.55     544.02  556790.69     0.4990      43   -1483.91     -66.52 13949343.07
    146      146      9      9     1425.55     544.02  556790.69     0.0730      43   -1308.82     -93.09 14120224.77
